plate,review_reason_code,customer_meaning,reviewer_comments,status
EDLKY13,2,NAME AND LUCKY NUMBER,"13, GANG REFERENCE",N
EIOHSSA,3,MEDICAL/LEGAL ACRONYM,ASSHOLE BACKWARDS,N
FACC 1,3,MY NAME,SOUNDS LIKE FUCK IF SAID IN ACCENT OF SORTS,N
GG 31O,2,GG MY DAUGHTER 310 AREA CODE,AREA CODE,N
GTFLX14,2,FELIX THE CAT IN SPANISH.,"14, GANG REFERENCE",N
GWTF AP,3,"AN ACRONYM FOR: "" GO WITH THE FLOW ALWAYS PREPARED"", A COMMONLY USED PHRASE USED WITHIN MY FRIEND GROUP.","WTF STOOD OUT TO ME, STANDS FOR WHAT THE FUCK",N
HRTN415,2,HEART IN SAN FRANCISCO,AREA CODE,N
ILOV3GS,2,FAMILY LAST NAME.. I LOVE THREE GRIFFITH,"I LOVE THREE G'S, COULD BE MAKING A GANG REFERENCE",Y
ILUVBBC,1,"I LOVE BIG BLACK CARS
(GOING ON A BLACK JEEP WRANGLER)",BBC STANDS FOR BIG BLACK COCK,N
IMA FBI,5,I' M A FULL BLOODED ITALIAN,"FBI, LAW ENFORCEMENT REFERENCE",N
J ALLDAY,7D,DAUGHTER NICKNAME,J COULD STAND FOR JOINT,Y
JP CLP88,2,JP (PLATE OWNER'S INITIALS) CLP (WIFE'S INITIAL) 88 (YEAR MARRIED),"88, GANG REFERENCE",N
JTREE78,7D,"MY NICKNAME, YEAR BORN","TREE STOOD OUT TO ME, COULD BE MAKING A REFERENCE TO MARIJUANA",Y
K1LLDUX,2,HUNTING DUCKS. AVID DUCK HUNTER.,"KILL, HOSTILE",N
LBSCAKE,1,POUND CAKE,"CAKE, COULD BE TAKEN AS SEXUAL",N
LIL DVIL,2,LITTLE DEVIL,"DEVIL, SOME MAY FIND HOSTILE",Y
MAC BAT,1,"ALL OF OUR FAMILY'S PERSONALIZED AUTO LICENSE PLATES START WITH ""MAC"" FOR OUR LAST NAME MCKENDRICK AND ""BAT"" BECAUSE THE CAR LOOKS LIKE THE BATMOBILE",MAC IS ANOTHER WORD FOR PIMP,Y
MAD F13,2,MY CAR IS A BMW F13.,"13, GANG REFERENCE",Y
MAXX666,2,,"666, SOME MAY FIND HOSTILE OR OFFENSIVE",Y
MTBJNKY,7D,MOUNTAIN BIKE JUNKY,JUNKY IS ANOTHER WORD FOR DRUG ADDICT,N
OGROUCH,2,OSCAR THE GROUCH,"OG, GANG REFERENCE",Y
OH FCK,3,HOMAGE TO SOCCER TEAM. FCK IS THE FOOTBALL CLUB COPENHAGEN. SOCCER TEAM.,"FUCK, PROFANITY",N
O6417,6,THIS IS THE ZIP CODE OF WHERE I GREW UP IN CONNECTICUT.,ALL DIGITS,Y
PEREZ88,2,LAST NAME AND SONS BIRTH YEAR,"88, GANG REFERENCE",N
PHOTOTT,1,PHOTOGRAPHER AUNT,"TT, TITTIE, SEXUAL ",N
POOSAYS,1,NICKNAME,"PUSSIES, SEXUAL ",N
PPOWERR,1,POWERFUL,"PUSSY POWER, SEXUAL ",N
PRL SS,1,PEARL SUPER SPORT,"SS COULD STAND FOR ASS, SEXUAL ",Y
REDCVTT,2,RED CORVETTE,"RED, GANG REFERENCE",Y
RMD GUN,2,INITIALS,"GUN, WEAPON REFERENCE",N
RR88ERS,2,OAKLAND RAIDERS,"88, GANG REFERENCE",N
SAMPASF,3,"SAO PAULO BRASIL/SAN FRANCISCO, CA CITY NAMES OF WHERE I'M FROM.","ASF AT THE END STOOD OUT TO ME, COULD STAND FOR AS FUCK",N
SCK Q5O,5,WIFES INITALS AND MAKE OF THE CAR,"5O, LAW ENFORCEMENT REFERENCE",Y
SO317O8,6,SOBRIETY DATE,LOOK ALIKE,N
SR717O7,2,2001 PONTIAC TRANS AM WS6. BLACK ON BLACK. THE FASTEST BIRD EVER MADE.,"7O7 STOOD OUT, AREA CODE",Y
TANK 44,2,NICKNAME- NAME SHERMAN TYPE,"TANK, WEAPON REFERENCE",N
THC CBD,7D,NATURAL MEDICINE,THE TWO CHEMICAL COMPOUNDS IN MARIJUANA,N
TROY14,2,14-DAUGHTERS YOB-TROY IS FAVORITE MOVIE,"14, GANG REFERENCE",N
T5MTANG,1,1965 MUSTANG,TANG IS ANOHTER WORD FOR VAGINA,Y
VARANUS,1,SCIENTIFIC NAME (GENUS) FOR MONITOR LIZARDS,"ANUS STOOD OUT, SEXUAL",N
WILD KTY,1,CAR IS A HELLCAT ADDITION,"KITTY, SEXUAL ",N
WILLY 42,1,MILITARY JEEP FROM 1942,WILLY CAN BE ANOTHER NAME FOR A PENIS (THE CUSTOMER DOES OWN A JEEP WILLY),N
13 GOAT,2,"13 GREATEST OF ALL TIME.
I'M A DAN MARINO FAN.","13, GANG REFERENCE",N
14KSOUS,2,CHEF OR COOK,"14, GANG REFERENCE",N
18PAC 13,2,BROTHER NAME AND DATE,"13 AND 18, GANG REFERENCE",N
2X4 4U,2,I SELL LUMBER,YOU COULD BE CONSIDERED HOSTILE,N
2834,6,AUDI S5 (NUMERIC VALUE),ALL DIGITS,Y
32IRL14,2,,"14, GANG REFERENCE",N
4 MAC X,1,ITS MY NAME,MAC IS ANOTHER WORD FOR PIMP,N
76766,6,FAVORITE NUMBERS,ALL DIGITS,Y
864O5,6,WHERE WE HOLIDAY,ALL DIGITS,Y
DSH D13,2,WIFE INITIALS AND YEAR WE MARRIED ,"13, GANG REFERENCE",N
IRQH8R,2,"IRAQ, MILITARY VET","HATE, HOSTILE",N
WHO S$D,3,WHOS LOVED,"""WHO SHARTED"" OBSCENE",N
POWKITY,1,POWDER (SNOW) KITTY. ITS A JAGUAR IN TAHOE. GREAT IN THE SNOW,"KITTY, SEXUAL ",N
BLUTOO9,2,THIS IS A NICKNAME THAT MY FRIEND GAVE ME BECAUSE I LIKED A LOT THE CARTOON POPEYE !,"BLUE, GANG REFERENCE",Y
P TWN,1,PROVINCETOWN OR PTOWN,THE P COULD STAND FOR PUSSY,N
U BLOX2,2,U BLOX IS THE NAME OF THE COMPANY I WILL BE WORKING FOR AND REPRESENTING,YOU COULD BE CONSIDERED HOSTILE,Y
2O13 SOX,2,2013 RED SOX,"13, GANG REFERENCE",Y
BLU HOG,2,BIKE IS A HARLEY. IT IS BLUE. HARLEYS ARE CALLED HOGS,"BLUE, GANG REFERENCE",Y
HAZRD88,2,"HAZARD RIDING A MOTORCYCLE, AND YEAR I WAS BORN","88, GANG REFERENCE",N
BORNTRD,3,"
MY FATHER SAID I WAS ""BORN TIRED BECAOSE I WAS ALWAYS TOO TIRED TO DO CHORES AROUND THE HOUSE","TRD, TURD, OBSCENE",N
PKUSHS,7D,"SON'S FIRST NAME INITIAL, MIDDLE NAME AND LAST NAME INITIAL",KUSH CAN BE ANOTHER NAME FOR MARIJUANA,N
AGENT TT,1,AGENT THOMAS TONG,"TT, COULD BE TAKEN AS SEXUAL ",N
AMG JNKY,7D,LOVES AND VEHICLES,JUNKY IS A TERM USUALLY USED TO DESCRIBE A DRUG ADDICT,N
ARCE C4,1 AND 2,MY WIFE LAST NANE AND HER NUNBER OF BROTHERS,"ARCE IS SIMILAR TO ARSE, ANOTHER WORD FOR ASS. C4 IS AN EXPLOSIVE, COULD BE HOSTILE. COULD ALSO MEAN ""BOMB ASS""",N
BATDN13,2,"NICKNA,E","13, GANG REFERENCE",N
BB BLUE1,2,BABY BLUE IS THE COLOR AND NAME OF MY CAR,"BLUE, GANG REFERENCE",Y
BIG 8IN,1,BIG AIDEN,"BIG 8 INCHES, COULD BE MAKING A REFERENCE TO A PENIS",N
BJ POP,1,INITIALS & DAD,BJ COULD STAND FOR BLOW JOB,N
BLOWN 4N,7D,SUPERCHARGED FOREIGN CAR,BLOWN IS ANOTHER TERM FOR BEING HIGH OR REALLY DRUNK,N
BLQD OUT,7D,BLACKED OUT,"BLACKED OUT, COULD BE REFERING TO BEING REALLY DRUNK",Y
BZKNEES,3,BEE'S KNEES,"BZ IS SHORT FOR BEEZY, ANOTHER WORD FOR BITCH",Y
BZ4YANI,3,MY VEHICLE IS BENZ AND MY FIRST NAME IS YANIRA,"BZ IS SHORT FOR BEEZY, ANOTHER WORD FOR BITCH",N
CTS 4 ME,1,CADILLAC CTS FOR ME,"CATS, COULD BE CONSIDERED SEXUAL ",Y
C3O2O2O,6,CHIEF EXECUTIVE OFFICER BY 2020,LOOK ALIKE,N
DABH OO7,7D,ITS MY LAST NAME WITH SOME NUMBERS.,DABH IS THE CUTOMERS LAST NAME HOWEVER DAB COULD BE A REFERENCE TO MARIJUANA,N
DAWOODI,1,IT'S MY LAST NAME.,WOODY CAN BE ANOTHER WORD FOR A PENIS,N
DKSABER,1,STR WARS LOL,"DICK SABER, SEXUAL",N
DMA5O,5,INITIALS AND BIRTH YEAR,"5O, LAW ENFORCEMENT REFERENCE",Y
DOJOCAT,1,KARATE LOCATION AND TYPE OF CAR,"CAT, COULD BE CONSIDERED SEXAUL ",Y
DZNUUTZ,1,IT MEANS DARLENE IS CRAZY,"DEEZ NUTS, SEXUAL ",N
FCUK 1T,3,FUTBOL CLUB OF UNITED KINGDOM NUMBER 1 TORO,"FUCK IT, PROFANITY",N
FM14RE2,2,FAMILY FIRST FERRARI SECOND,"14, GANG REFERENCE",Y
GDL 1969,1,GUADALAJARA 1969,"69, SEXUAL REFERENCE",Y
GHST31O,2,MY CARS NAME,AREA CODE,N
GNRAL H1,7D,GENERAL HECTOR 1,"HI, COULD BE MAKING A REFERENCE TO DRUGS",Y
HELGOAT,3,"GTO IS ALSO REFERRED AS A GOAT. HELLCAT IS A FAST CAR PRODUCED BY DODGE, THEREFORE HELGOAT","HELL, SOME MAY FIND OFFENSIVE",Y
H1 BOMB,2,HYDROGEN POWERED VEHICLE AND IT IS AN OLD JALOPY OR BOMB,"BOMB, WEAPON REFERENCE",N
IH8MYVW,2,MY CAR KEEPS BREAKING DOWN AND I THINK IT'S FUNNY,"HATE, COULD BE HOSTILE",N
IS2COCO,7D,I LOVE MY CAR,COCO IS ANOTHER WORD FOR COCAINE,N
J13SITO,2,J FOR JULIAN. 13. SITO AS NICKNAME,"13, GANG REFERENCE",Y
KAKA615,3,MY DAUGHTER'SNAME AND YEARS BORN,"KAKA IS LIKE CACA WHICH IS ANOTHER WORD FOR POOP, OBSCENE",N
KNDA925,2,FLIGHT REFERRAL,AREA CODE,N
LAVA5OH,5,RED MUSTANG WITH A 5 LITER ENGINE,"5O, LAW ENFORCEMENT REFERENCE",Y
LITLMUL,7D,CAR NAME FROM MOVIE,COULD BE REFERENCING A DRUG MULE,N
LMAO FAM,3,IT IS THE INITIALS OF MY BEST FRIENDS THAT I LEFT SCHOOLS FROM.,LMAO STANDS FOR LAUGH MY ASS OFF,N
LOVG LYF,2,I LOVE LIFE,"LOVE G LIFE, GANG REFERENCE",Y
LUV2PEW,2 OR 3,LOVE TO SHOOT (PEW) PEW IS THE GUN SOUND,"""LOVE TO SHOOT"" COULD BE TAKEN AS HOSTILE. IT ALSO LOOKS A LITTLE LIKE LOVE TO POO, WHICH IS OBSCENE",N
LV2H8US,2,LOVE TO DISLIKE US,"HATE, COULD BE HOSTILE",N
MAC DRY,1,MACIEL DRYWALL,MAC IS ANOTHER WORD FOR PIMP,Y
MAC TOY,1,MY NAME INITIALS AND TOY FOR TOYOTA,MAC IS ANOTHER WORD FOR PIMP,Y
MJ 4 EVR,7D,MIKE JACKIE FOR EVER,"MJ COULD STAND FOR MICHEAL JORDAN BUT IT COULD ALSO STAND FOR MARY JANE, ANOTHER WORD FOR MARIJUANA",N
MOIST TC,1,ALWAYS AT THE CAR WASH.,SOUNDS SEXUAL TO ME,N
MS 666,2,KID SIGNATURE INITIALS AND LUCKY NUMBER,SOME MAY FIND HOSTILE,Y
NYG DUBS,7D,FOOTBALL AND BASKETBALL TEAMS,DUBS CAN BE A WORD FOR MARIJUANA,N
OG JEDI,2,I'M AN ORIGINAL STAR WARS FAN FROM WAY BACK..,"OG, GANG REFERENCE",N
OMW HOE,3,ON MY WAY HAPPINESS OVER EVERTHING,"HOE, PROFANITY",N
O3BLKOT,7D,MY 03 CHEVY TAHOE IS ALL BLACK,"BLACK OUT, COULD BE REFERRING TO BEING BLACKED OUT DRUNK",Y
PAWA 13,2,PAWA IS A LAST NAME,"13, GANG REFERENCE",N
PIFAS69,1,MY NICKNAME,"69, SEXUAL REFERENCE",N
QU1CKAF,3,QUICK,AF STANDS FOR AS FUCK,N
REDBEAN,2,NEW ORLEANS FOOD,"RED, GANG REFERENCE",Y
RED BRNS,2,RED BARNES- I HAVE RED HAIR AND MY LAST NAME IS BARNES,"RED, GANG REFERENCE",Y
REDJAKE,2,CAR IS RED AND THE CORVETTE MASCOT IS JAKE WHICH IS ALSO MY NAME!,"RED, GANG REFERENCE",Y
RR88RZZ,2,RAIDERS FOOTBALL,"88, GANG REFERENCE",N
R88ADRZ,2,RAIDERS (FOOTBALL TEAM),"88, GANG REFERENCE",N
SHDY TRD,3,NAME OF THE CAR,"""SHITTY TURD"" PROFANITY, OBSCENE",N
SKIT51O,2,"NICKNAME, AREA CODE",AREA CODE,N
SLOOW5O,5,SLOW 5.0 MUSTANG,"5O, LAW ENFORCEMENT REFERENCE",N
SMALL DK,1,SMALLDK,"""SMALL DICK""",N
SNOFUNN,7D,FUN IN THE SNOW,SNOW CAN BE ANOTHER NAME FOR COCAINE,Y
SSDEALR,1,STAINLESS STEEL DEALER AT OUR BUSINESS.,SS COULD MEAN ASS,N
STA LIT,7D,"STAY LIT ""REFRENCING MY RETROFITTED HEADLIGHTS""","STAY LIT, MEANING TO BE HIGH OR DRUNK",N
STKY GRN,7D,STINKY GREEN.  BECAUSE THE CAR IS GREEN AND OLD AND MY KIDS CALL IT STINKY,"STICKY GREEN, REFERRING TO MARIJUANA",N
SUMMA13,2,HER NAME AND FAV NUMBER,"13, GANG REFERENCE",N
SX5VDUB,7D,1965 VOLKSWAGEN,DUBS CAN BE A WORD FOR MARIJUANA,N
TEST MEE,2,JUST A FAMOUS PHRASE USED IN A MOVIE.,SOUNDS LIKE IT COULD BE HOSTILE,N
TR4PLRD,7D,USERNAME FOR VIDEOGAME,"TRAP LORD, REFERENCING DRUGS AND GANG",N
TWOTOO3,2,MY BIRTHDATE: FEBRUARY 23RD,"223 IS A TYPE OF GUN, WEAPON REFERENCE",N
USABEEF,1,AMERICAN MUSCLE,BEEF SOUNDED SEXUAL ,Y
U THOGHT,2,"YOU THOUGHT.. SAME AS SAYING ""I DON'T THINK SO""","YOU, COULD BE CONSIDERED HOSTILE. IT COULD ALSO MEAN ""YOU THOT"" WHICH THOT IS ANOTHER WORD FOR A HOE",N
WTF M3,3,"WTF IS MY NAME. MY NAME IS WU,TINGFEI. SO I USED WTF. M3 IS MY BMW M3. IT'S MY CAR MODEL.",WTF STANDS FOR WHAT THE FUCK,N
YEEEE 13,2,YES 13,"13, GANG REFERENCE",N
ZO6 AF,3,Z06 IS THE MODEL OF CORVETTE I DRIVE AND AF ARE INTIALS,AF STANDS FOR AS FUCK,N
13 STAR,2,NICKNAME AND BIRTHDAY,"13, GANG REFERENCE",N
14MYBMW,2,ANNIVERSARY AND CAR MAKE,"14, GANG REFERENCE",N
17 REDSS,2,"2017 RED CAMARO SS
(YEAR/COLOR/MODEL)","RED, GANG REFERENCE",Y
2ND CUM,1,JESUS 2ND COMING,SOUNDS SEXUAL TO ME,N
29DIC16,1,WEDDING DATE,DIC IN THE MIDDLE STOOD OUT TO ME,N
44PBR88,2,"44 LUCKY NUMBER
PROFESSIONAL BULL RIDING 
88 YEAR BORN","88, GANG REFERENCE",N
5S5S55S,6,JUST RANDOM NUMBER AND LETTERS,ALL THE NUMBERS AND LETTERS LOOK ALIKE,N
66BANG,2,YEAR OF CAR,"BANG, LIKE A GUN SOUND, COULD BE CONSIDERED HOSTILE",N
69MANXX,1,THE YEAR OF THE AUTO AND MAKE OF IT.,"69, SEXUAL REFERENCE",N
69OLDZZ,1,1969 OLDSMOBILE CUTLASS,"69, SEXUAL REFERENCE",Y
77Z7Z77,6,FAVORITE NUMBER,ALL THE NUMBERS AND LETTERS LOOK ALIKE,N
88PMC88,2,SMOOTH TO RICH FOR PMC COMPANY,"88, GANG REFERENCE",N
88RS888,2,"LUCKY NUMBERS , DAUGHTERS INITIALS","88, GANG REFERENCE",N
1K KILLA,2,MOTORCYCLE NICKNAME,"KILLA, HOSTILE",N
BJ$YFLL,1,BE JOYFUL,BJ COULD STAND FOR BLOW JOB,Y
$BRAINS,1,I AM A PSYCHOTHERAPIST AND ENJOY NEUROSCIENCE.,"COULD MEAN LOVE HEAD, SEXUAL",N
FKD$MSD,3,FRANCINA K. DINISI (HEART/LOVES) MARK S. DINISI,"FUCKED, PROFANITY",N
K $ BLU,2,FIRST INITIAL CAR COLOR IS BLUE,"BLUE, GANG REFERENCE",Y
MN$BLZE,7D,,BLAZE CAN MEAN SMOKING MARIJUANA,N
JSTBAKD,7D,JUST BE A KID,COULD BE REFERRING TO SMOKING MARIJUANA,N
SEQUO14,2,I LOVE REDWOOD TREES MORE THAN MY FAMILY,"14, GANG REFERENCE",N
9XI TT,1,"9XI - REFERS TO MY CAR MODEL, PORSCHE 911, TT TO THE ENGINE CONFIGURATION TWIN TURBO","TT, COULD BE TAKEN AS SEXUAL ",Y
AMSKYHI,7D,AIM SKY HI,"AM SKY HI, COULD BE TALKING ABOUT BEING HI ON MARIJUANA",N
DBLBANG,1,WITH A NEW TRUCK AND TRAILER THE PAYMENTS ARE DOUBLE,DOUBLE BANG SOUNDS SEXUAL ,N
DK4EVER,1,DARREN AND KELLI FOREVER,DK COULD STAND FOR DONKEY KONG BUT IT COULD ALSO STAND FOR DICK,N
SMKN VET,7D,SMOKIN VET,"SMOKING, COULD BE REFERENCING DRUGS",N
ZFGX1,3,"ZOE,FERN,GRACE, MY HUNTING DOGS","""ZERO FUCKS GIVEN""",N
88ST162,2,YEAR AND MAKE,"88, GANG REFERENCE",N
ASIAN D,1,ASIAN DOLL,THE D COULD STAND FOR DICK,N
CRM PFF,1,WHITE CAR,"CREAM PUFF, SOUNDS SEXUAL",Y
SCUMMMY,2,NICKNAME,SLANG FOR CUM OR A DESPICABLE PERSON,N
FAT HNKY,2,THE NICKNAME GIVEN TO ME BY MY HUSBAND,FAT HONKY,N
FYB 1ST,3,FOR YOU BABE MY 1ST,FYB=FUCK YOUR BITCH,N
FYG 1ST,3,FOLLOW YOUR GOAL 1ST,FYG=FUCK YOUR GIRL ,N
BETO O75,1,NO MICRO,"BETO, SEXUAL (UD)",Y
DEA JEFE,2,NO MICRO,JEFE,N
DRTY RDR,2,NO MICRO,DIRTY RIDER?,N
DXXXV ,1,NO MICRO,XXX,N
GHNGONA,3,NO MICRO,CHINGONA,N
HD KITTN,1,NO MICRO,KITTEN,N
JK KILLR,2,NO MICRO,KILLER,N
MELON GG ,1,NO MICRO,MELON,Y
NO MERZI,2,NO MICRO,NO MERCY,N
P DRO,7D,NO MICRO,"DRO, MARIJUANA REFERENCE ",Y
PEKENO 1,1,NO MICRO,"LITTLE ONE, SEXUAL?",Y
PR13TO,2,NO MICRO,13 = GANG NUMBER,N
P182C3O,2,NO MICRO,18 = GANG NUMBER,Y
RT4ONE5,2,NO MICRO,415 = AREA CODE,N
SAD 2 BU,2,NO MICRO,SAD TO BE YOU,N
TOXIC96,2,NO MICRO,TOXIC,N
TPLSS 66,2,NO MICRO,TOPLESS ('66 FORD ON ANI),N
UDDERO3,1,NO MICRO,UDDER ,Y
VARSSE,3,NO MICRO,ARSE = ASS,N
WEDM8YZ,2,NO MICRO,"WE DEM BOYS, ""WEDMBYZ"" MARKED UNACCEPTABLE",N
DITO42O,7D,NO MICRO,"420, MARIJUANA REFERENCE",N
6SALLY9,1,NO MICRO,69 (NO '69 ON ANI),N
BOMLODR,2,NO MICRO,BOMB LOADER,N
HUM1688,2,NO MICRO,88 = HATE NUMBER,N
WTR NMPH,1,NO MICRO,NMPH = NYMPH?,N
ADCTD,7D,ADDICTED MEDIA PRODUCTIONS,ADDICTED,N
COIT CPT,2,"COIT-NAME OF COMPANY
CPT-ABBREVIATED FORM FOR CARPET",COIT = AUSTRALIAN SLANG FOR ASSHOLE (UD),Y
CUL1SIN,2,MY CITY,CULISIN MARKED UNACCEPTABLE,Y
DAVEED G,2,MY NAME,STAND ALONE G (LAST NAME STARTS WITH G),N
D OVR T,2,SPEED = DISTANCE DIVIDED BY TIME,STAND ALONE D,N
DRKFTSY,1,NO MICRO,DARK FANTASY?,N
DTGVSHT,3,NO MICRO,DON’T GIVE A SHIT,N
EL JFE1,2,IM THE FATHER OF MY KIDS OR IM THE BOSS,JEFE,Y
FNCY AF,3,FANCY AMANDA FERGUSON (MY FIANE'S LAST NAME) MY NEW INITIALS,FANCY AS FUCK,N
FN NOOB,3,FOR NATURE NOW ON OUR BRINK,FUCKIN' NEWBIE,N
FSH2DTH,2,NO MICRO,FISH TO DEATH,N
GTNCAGE,2,GET IN THE CAGE,"GET IN CAGE, HOSTILE?",N
G3T OVR,2,GET OVER,GET OVR MARKED UNACCEPTABLE,N
HALE S8N,2,HALE SATAN,HAIL SATAN,N
HB XPLR,3,HUNTINGTON BEACH EXPLORER,HOT BITCH EXPLORER? (NO FORD ON ANI),Y
HO MONEY,2,I AM A HEAVY EQUIPMENT OPERATOR. MY MAIN  MACHINES ARE BACKHOES AND TRACKHOES. I LOVE WHAT I DO AND ITS THE ALSO THE NAME OF MY FIRST BOAT,OFFENSIVE,N
IAM BAD,2,I'M A FUN PERSON TO BE AROUND,HOSTILE?,Y
ICU MF,3,I SEE YOU MONDAY THRU FRIDAY,I SEE YOU MOTHERFUCKER,N
JESS L88,2,NAME AND LUCKY NUMBERS,88 = HATE NUMBER,N
JKKNAUF,2,JOKING OFF,JACKIN' OFF,N
LOLDGAF,3,"THIS STANDS FOR ""LOL DIDNT GET AS FAR"". IT IS A JOKE ON MY OFFROADING FORUM ABOUT OTHER 4X4 VEHICLES THAT ARENT AS CAPABLE",DGAF = DON’T GIVE A FUCK,N
M BIG,1,NO MICRO,"I'M BIG, SEXUAL?",N
MTN B ,3,MOUNTAIN BEE,STAND ALONE B,N
NSTYGAL,1,I HAVE A 1967 FORD GALAXIE AND IT IS A NASTY HOT ROD. BIG BLOCK WITH LOTS OF POWER. NASTY GALAXIE. THANK YOU,NASTY GAL,N
NUT UP 1 ,1,NO MICRO,NUT,N
O3 SMOKE,7D,03 ACCORD 4CYL HAS PUNCH,SMOKE,Y
PACPIPE,7D,NO MICRO,PIPE,N
PIPE ,1,NO MICRO,SEXUAL?,Y
POCHO 6,2,POCHO MEANS MEXICAN AMERICAN,DEGRADING TERM FOR MEXICAN AMERICAN (UD),N
POLUTD 1,7D,IS IN REFERENCE THAT I TAKE A LOT OF MEDICATION DUE TO MY HEART CONDITION. NOT INFERRING THAT THE VEHICLE IS POLLUTING THE AIR,DRUG REFERENCE?,Y
PURRWGN,1,NO MICRO,PURR WAGON,N
RAA88RS,2,RAIDERS -FOOTBALL TEAM,88 = HATE NUMBER,N
RDVHTRD,2,MOVIE REFERENCE,HTRD = HATRED?,N
SASSYB2,3,NICKNAME,SASSY BITCH TOO,N
SHTBX71,3,SHORT BOX (BED) 1971,SHIT BOX? ('71 CHEVY ON ANI),N
SMO8KEY,7D,THE COLOR OF MY CAR AND 8 IS MY FAVORITE NUMBER,SMOKEY,Y
SVAGE AF,3,SAVAGE AURELIO FABIAN ( THE OWNERS INITIALS OF HIS FIRST AND LAST NAME.,SAVAGE AS FUCK,N
WREAMW,1,NO MICRO,"CREAM, SEXUAL?",N
YOPS 69,1,NO MICRO,69 (UNABLE TO SEE ANI),N
ZXEXRXO,1,IT'S BEEN A NAME GIVEN TO ME BY MY FATHER AS A CHILD,XXX,N
ZXX 8888,2,MEAN OF NAME,88 = HATE NUMBER,N
1COOL88,2,NO MICRO,88 = HATE NUMBER (NO '88 ON ANI),N
1 DFWBAB,1,NO MICRO,"DOWN FOR WHATEVER BABE, SEXUAL?",N
1TRK5OH,5,ONE TRICK MUSTANG,5-O ('13 FORD ON ANI),Y
13121OE,2,CHILDRENS BIRTH YEARS,13 = GANG NUMBER,N
2JZ BOSS,2,TOYOTA MOTOR,BOSS,Y
5O2 GUAT,2,NO MICRO,DEGRADING TERM FOR GUATEMALAN (UD),N
7SUP 14,2,FAVORITE NUMBERS,14 = GANG NUMBER,N
ETHDFAF,2,NO MICRO,AF,Y
LOV HATR,2,NO MICRO,HATER,N
B&M S13,2,BAD MOOD = NICKNAME S13 = CHASSIS,13 = GANG NUMBER,N
SK916&,2,SACRAMENTO KINGS,916 = AREA CODE,N
BCL 44,2,NO MICRO,"44, GUN",Y
ABN DIV,3,NO MICRO,ABN = ASSHOLE BY NATURE ,Y
ARTRV18,2,NO MICRO,18 = GANG NUMBER,N
CUTTNUP,1,CUTTING A COW OUT OF A HERD WHILE ON A HORSE,"CUTTIN UP, SEXUAL?",Y
DA WERM,1,NO MICRO, SEXUAL?,N
DIK DOK,1,"DICK MARCONI, MEDICAL DOCTOR",DICK DOC,N
FKSPNOS,3,FUCK SPANOS,FUCK SPANOS,N
MADZ BOX,1,MADISON'S SCION BOX CAR,BOX,N
PORKY27,2,"NAME MY LATE GRANDFATHER USE TO CALL ME, NUMBERS ARE MY BIRTHDAY","PORKY, OFFENSIVE?",N
TRPCLHY,7D,TROPICAL HIGH,TROPICAL HIGH,Y
4GWTBDN,2,NO MICRO,BDN = BIG DICK NIGGA (UD),Y
U8LKHD,2,YOU BLOCK HEAD,YOU ATE,N
AF AVI8R,3,AIR FORCE AVIATOR,AF LOOKS LIKE AS FUCK OR AIR FORCE,Y
ALS88CK,2,ALCANTRA'S 1988 CHEVY C/K,88 HITLER REFERENCE,Y
ARMORY1,2,NAME OF MY COMPANY ROCKLIN ARMORY,ARMORY GUNS,Y
ARTCL 15,2,ARTICLE 15 - UCMJ ACTION IN THE MILITARY,NON JUDICIAL PUNISHEMENT MILITARY,N
AWPHDUP,3,"I HAVE A LIFTED FORD TRUCK,IT JUST INDICATES THAT",ALL FUCKE D  UP,N
BADSS23,3,BAD AND SS BECAUSE IS CAMAROSS AND 23 ITS MAY BIRTHDAY,LOOKS LIKE BAD ASS,N
BANGA 1,1,LAST NAME,BANGA,N
BASE H,D7,NAME,BASE HEAD,Y
BEVRPMP,1,MY LAST NAME AND ABBREVIATION FOR PROJECT MANAGEMENT BUSINESS,BEAVER PIMP,N
BG WILYZ,1,"B FOR BEN ,G FOR GUILLERMO AND WILLY ARE ALL NICK NAMES.",BIG WILLIES,N
BIG BLU8,2,BIG BLUE--AFTER PAUL BUNYAN'S BIG BLUE OX. THE CAR IS A BLUE LANDCRUISER.,BLUE,Y
BLURNDU,2,BLUE CAR BY YOU,BLUE,Y
BLU1122,2,COLOR OF MY CAR IS BLUE AND 11/22 IS THE DATE MY FARTHER EXPIRED AND HE LOVED CARS,BLUE,Y
BLWN M1,2,BLOWN MACH 1,BLOWN,N
BOS ASFK,3,"MY MENTOR AND LEADER EARLY IN MY CAREER IN THE UNITED STATES MARINE CORPS. MR. BOS, ASTON FRANK.  THIS VANITY PLATE IS TO COMMEMORATE HIM. HE TAUGHT ME EVERYTHING I KNOW.",BOSS AS FUCK,N
BTCHAS S,3,BITCHASS,BITCHASS,N
BUBL8UT,1,SHAPE OF THE MAZDA 3 HATCHBACK,BUBBLE BUTT,N
BUCKOFF,3,GETTING BUCKED OFF THE HORSE AND ON TO THE NEXT,FUCK OFF,N
BUGOUGH,3,BUG OFF --I DRIVE A VW BUG,BUG OFF,Y
BULITT4,2,FAVORITE MOVIE,BULLET,Y
BYEBZEE,3,FAMILY INSIDE JOKE,BYE BITCH,N
B858Z,2,FAVORITE NUMBER AND CHARACTER,828 AREA CODE,N
